topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
6	518	developpeur-dapplication-python		Développeur d'application - Python	Construisez des applications web en utilisant le langage de programmation Python et le framework Django.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/518/16333569400875_DEV_Python.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/518-developpeur-dapplication-python	https://www.francecompetences.fr/recherche/rncp/35976/
6	533	developpeur-full-stack-java-et-angular		Développeur Full-Stack - Java et Angular	Devenez un expert en programmation full-stack avec Java et Angular en conception et qualité logicielle.	fr	Diplôme de niveau 7 (bac +5)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/533/16639692239556_DEV_fullstack_java_angluar.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/533-developpeur-full-stack-java-et-angular	https://www.francecompetences.fr/recherche/rncp/36912/
6	749	architecte-logiciel		Architecte Logiciel	Devenez un expert dans le développement logiciel en concevant des solutions complexes.	fr	Diplôme de niveau 7 (bac +5)	15	0		https://oc-static.imgix.net/prod/images/paths/illustrations/749/16651592250505_DEVELOPMENT_software_architecht.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/749-architecte-logiciel	https://www.francecompetences.fr/recherche/rncp/36912/
7	702	product-manager		Product Manager	Pilotez le développement d’un produit digital en alignant les équipes design, techniques et business	fr	Diplôme de niveau 7 (bac +5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/702/16565071139509_Projectmanager%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/702-product-manager	https://www.francecompetences.fr/recherche/rncp/34758/
7	755	chef-de-projet-digital		Chef de projet digital	Pilotez des équipes pluridisciplinaires dans la réalisation de projets numériques.	fr	Certification OpenClassrooms	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/755/16643773821825_16364840115693_PROJECTMGMT_DIGITAL%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/755-chef-de-projet-digital	
9	711	brand-manager		Brand Manager	Devenez expert en identité de marque, maîtrisez les canaux de communication pour augmenter la notoriété !	fr	Diplôme de niveau 7 (bac +5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/711/16583181043092_brandmanager_ESM-min.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/711-brand-manager	https://www.francecompetences.fr/recherche/rncp/31916/
9	336	community-manager		Community Manager	Gérez la présence des marques sur les réseaux sociaux tels que Facebook, Instagram, LinkedIn ou Snapchat.	fr	Certification OpenClassrooms	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/336/16375934710107_Artboard%201.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/336-community-manager	
9	746	chef-de-projet-marketing		Chef de projet marketing	Garantissez la cohérence de marque et l'application de la stratégie marketing de votre entreprise.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/746/16630764003746_16583180205156_chefprojet_markting-RMOC.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/746-chef-de-projet-marketing	https://www.francecompetences.fr/recherche/rncp/36877/
10	708	ingenieur-responsable-pedagogique		Ingénieur responsable pédagogique	Créez des expériences d'apprentissage parfaitement adaptées à vos objectifs, vos publics et vos ressources.	fr	Diplôme de niveau 6 (bac +3/4)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/708/16560633651846_15435994661027_path82%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/708-ingenieur-responsable-pedagogique	https://www.francecompetences.fr/recherche/rncp/36652
10	709	formateur-responsable-de-projets-pedagogiques		Formateur responsable de projets pédagogiques	Développez vos compétences pédagogiques pour accompagner vos étudiants dans leur apprentissage.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/709/16560632422151_PEDAGOGY_TRAINERTEACHER.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/709-formateur-responsable-de-projets-pedagogiques	https://www.francecompetences.fr/recherche/rncp/36652
11	143	conseiller-en-evolution-professionnelle		Conseiller en évolution professionnelle	Accompagnez les individus dans le développement de leur carrière.	fr	Certification OpenClassrooms	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/CAREER_COACH.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/143-conseiller-en-evolution-professionnelle	
11	561	responsable-learning-development		Responsable Learning & Development	Accompagnez la stratégie de l'entreprise par le développement des compétences des salariés !	fr	Diplôme de niveau 6 (bac +3/4)	12	0	 le CESI	https://oc-static.imgix.net/prod/images/paths/illustrations/561/16378497214798_HR_LEARNINGDEVELOPMENT.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/561-responsable-learning-development	https://www.francecompetences.fr/recherche/rncp/36145
13	640	supply-chain-analyst		Supply Chain Analyst	Exploitez et interprétez les données de la chaîne d’approvisionnement.	fr	Diplôme de niveau 6 (bac +3/4)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/640/16687619651793_DATA_suuplychain.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/640-supply-chain-analyst	https://www.francecompetences.fr/recherche/rncp/34964/
14	395	technicien-informatique		Technicien informatique	Gérez un parc informatique sécurisé, déployez des postes de travail et apportez un support aux utilisateurs	fr	Diplôme de niveau 5 (bac +2)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/395/16649580558165_SYSTEMS_IT-Technician%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/395-technicien-informatique	https://www.francecompetences.fr/recherche/rncp/36716/
14	734	administrateur-systemes-reseaux-et-securite		Administrateur systèmes, réseaux et sécurité	Concevez et gérez les réseaux et systèmes d’information des entreprises, ainsi que leur sécurité.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/734/16663589182038_16286696672043_SYSTEMS_administrateur.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/734-administrateur-systemes-reseaux-et-securite	https://www.francecompetences.fr/recherche/rncp/36370/
