course_id	part_number	chapter_id	chapter_number	chapter_name	chapter_title	chapter_description	chapter_url
5870131	1	5870138	1	selectionnez-vos-outils	Sélectionnez vos outils		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/5870138-selectionnez-vos-outils
5870131	1	6160091	2	orientez-vous-facilement-dans-une-application	Orientez-vous facilement dans une application		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160091-orientez-vous-facilement-dans-une-application
5870131	1	6160096	3	sortez-des-situations-de-blocage	Sortez des situations de blocage		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160096-sortez-des-situations-de-blocage
5870131	1	6160101	4	identifiez-la-nature-de-vos-interlocuteurs-et-de-leurs-messages	Identifiez la nature de vos interlocuteurs et de leurs messages		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160101-identifiez-la-nature-de-vos-interlocuteurs-et-de-leurs-messages
5870131	2	6160111	1	echangez-des-mails	Échangez des mails		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160111-echangez-des-mails
5870131	2	6160116	2	communiquez-en-direct-messagerie-instantanee-telephonie-sur-ip-et-visioconference	Communiquez en direct : messagerie instantanée, téléphonie sur IP et visioconférence		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160116-communiquez-en-direct-messagerie-instantanee-telephonie-sur-ip-et-visioconference
5870131	2	6160121	3	presentez-vous-et-diffusez-de-linformation-sur-les-reseaux-sociaux	Présentez-vous et diffusez de l'information sur les réseaux sociaux		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160121-presentez-vous-et-diffusez-de-linformation-sur-les-reseaux-sociaux
5870131	3	6160126	1	transferez-et-partagez-des-documents	Transférez et partagez des documents		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160126-transferez-et-partagez-des-documents
5870131	3	6160131	2	organisez-un-travail-collaboratif	Organisez un travail collaboratif		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160131-organisez-un-travail-collaboratif
5870131	3	6160136	3	utilisez-une-plateforme-de-communication-collaborative-ou-un-reseau-social-dentreprise	Utilisez une plateforme de communication collaborative ou un réseau social d'entreprise		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6160136-utilisez-une-plateforme-de-communication-collaborative-ou-un-reseau-social-dentreprise
