path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
172	0	1		Get your transformation roadmap approved	Help a company in the tourism industry understand how they need to transform their services to meet customer expectations. Convince board members - even the skeptics - that it’s worth the company’s time and resources.	90		
172	0	2		Transform a company’s business model	You are the new director of innovation for a TV network that is struggling to maintain its market share. You’ve been asked to prepare a proposal for pivoting the business model. You’ll need to analyze current figures and present your findings.	70		
172	0	3		Design a dashboard to make data-driven decisions	The market has begun to shift towards a document storage product with artificial intelligence capabilities. The company has lost many smaller accounts, and you are hired by the CEO to mine the data and choose metrics to keep track of the situation.	80		
172	0	4		Leverage disruptive technology to create value	“Fashion-Insta” is a fashion company about to launch a mobile app for photo-based clothing item recommendations. It’s up to you to define the scope of this project which relies on artificial intelligence and present it to your company's board.	70		
172	0	5		Rally employees around an innovative project	You have been tasked with initiating a change management plan in a shipping company. A new mobile app will be introduced into daily work of employees, and your goal is to get their initial buy-in and involve them in the continuous improvement of the app.	90		
167	0	1		Explore AI Engineering as a Career	Your company in the banking sector wants to improve its customers’ experience using a chatbot. You have been selected to launch this experiment!	30		
167	0	2		Participate in a Smart City Contest	You want to gain experience in Data Science by participating in an online contest organized by an NGO. The goal? To contribute to the development of the City of the Future!	60		
167	0	3		Produce data visualizations for a public health agency	The Department of Health and Human Services wants to help its employees use their raw data. You're tasked to help them out!	80		
167	0	4		Develop a Scoring Model	As a Data Scientist for a finance company, you will develop a scoring model that will enable customer relations teams to decide whether or not to lend to prospective borrowers.	80		
167	0	5		Segment the Customer Base of an e-commerce Website	You are working as a consultant for an e-commerce marketplace. Olist’s marketing teams want you to develop a customer segmentation they can use to optimize their communication campaigns.	70		
167	0	6		Improve Your Startup’s AI Product	You are an AI engineer for a website that provides restaurant listings. You will be working on a new interactive feature for your platform.	80		
167	0	7		Use Deep Learning to detect Bad Buzz	You are an AI engineer for a consulting firm specializing in digital marketing. Your customer wants to use AI to detect Bad Buzz associated with its brand online.	70		
167	0	8		Create a Mobile Application for Recommending Content	You are the CTO of a startup that wants to market a book recommendation app to its customers. You will launch an initial version of this mobile application.	80		
167	0	9		Develop a Chatbot to Help Customers Make Holiday Reservations	Your tourism company wants to develop a chatbot to help its customers reserve airline tickets. You have been assigned to develop this chatbot!	100		
167	0	10		Define the Scope of an AI Project	In a few days, the Executive Board will meet to approve your company’s proposed roadmap. You must scope the project to convince senior management that your project has strong potential.	60		
146	0	1		Start your journey as a Data Analyst	It's time to step into your new role and find out what it means to be a Data Analyst. Take the time to also define your goals and your study schedule in this first project.	30		
146	0	2		24 hours in the life of a Data Analyst	Today you must provide a monthly report to your manager. What figures will you choose? Which graphs will you include in your presentation?	40		
146	0	3		Improve your client's Social Media strategy	You have landed your first freelance job as a Data Analyst for an online magazine! Analyze your client's user data and make recommendations to better target their Social Media audience.	50		
146	0	4		Conduct a public health study	You are responsible for setting the parameters for a study on malnutrition. To guide future research, you will have to designate data points, identifying trends and areas for improvement.	70		
146	0	5		Analyze your company’s sales	Your company provides you with their raw sales data and asks you to make sense of it. It's up to you to spot areas for growth and new market opportunities.	80		
