path_id	project_id	project_number	course_id	href
341	0	3	6391586	https://openclassrooms.com/fr/courses/6391586-utilisez-un-crm-dans-votre-activite-de-commercial
341	0	3	4577696	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
341	0	3	6068001	https://openclassrooms.com/fr/courses/6068001-reussissez-votre-campagne-de-mailing
341	0	3	4929676	https://openclassrooms.com/fr/courses/4929676-redigez-des-ecrits-professionnels
341	0	4	6391716	https://openclassrooms.com/fr/courses/6391716-reussissez-vos-rendez-vous-commerciaux
341	0	4	6510596	https://openclassrooms.com/fr/courses/6510596-developpez-votre-sens-du-service
341	0	5	5162341	https://openclassrooms.com/fr/courses/5162341-maitrisez-les-risques-juridiques-lies-au-numerique
341	0	5	5674851	https://openclassrooms.com/fr/courses/5674851-maitrisez-les-risques-juridiques-du-marketing-et-de-la-communication
341	0	5	4727076	https://openclassrooms.com/fr/courses/4727076-apprenez-a-gerer-les-conflits
341	0	6	6316366	https://openclassrooms.com/fr/courses/6316366-fidelisez-vos-clients
341	0	6	5754261	https://openclassrooms.com/fr/courses/5754261-developpez-votre-reseau-professionnel
324	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
324	0	1	4805776	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle
324	0	1	6417031	https://openclassrooms.com/fr/courses/6417031-objectif-ia-initiez-vous-a-lintelligence-artificielle
324	0	1	6692406	https://openclassrooms.com/fr/courses/6692406-developpez-vos-soft-skills
324	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
324	0	2	4929811	https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel
324	0	2	4762856	https://openclassrooms.com/fr/courses/4762856-analysez-des-donnees-marketing
324	0	3	4055451	https://openclassrooms.com/fr/courses/4055451-modelisez-et-implementez-une-base-de-donnees-relationnelle-avec-uml
