src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
6417031	6822221	references	4525361	0	https://openclassrooms.com/fr/courses/4525361-realisez-un-dashboard-avec-vos-donnees
6417031	6822221	references	4449026	0	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
6204541	6250516	references	4452741	0	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science
4449026	4564001	requires	2958471	0	https://openclassrooms.com/courses/comprendre-le-big-data-a-travers-les-films-de-cinema
4449026	4568781	requires	4449026	4504071	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/choisissez-votre-cle-primaire-parmi-les-candidates
4449026	4519421	requires	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/ne-perdez-pas-de-vue-vos-cles#r-4629016
4449026	4550606	requires	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/explorez-les-panama-papers#r-4552280
4449026	4564001	references	4425111	4463726	https://openclassrooms.com/courses/manipulez-des-donnees-avec-python-1/p2c1-creez-votre-premier-graphique-nico
4449026	4564001	references	1959476	0	https://openclassrooms.com/courses/administrez-vos-bases-de-donnees-avec-mysql
4449026	4564001	references	4055451	0	https://openclassrooms.com/courses/faites-une-base-de-donnees-avec-uml
4449026	4567381	references	4055451	4458402	https://openclassrooms.com/courses/faites-une-base-de-donnees-avec-uml/optimisez-votre-modele-relationnel-avec-les-formes-normales
4449026	4504461	references	4055451	4457718	https://openclassrooms.com/courses/faites-une-base-de-donnees-avec-uml/mettez-en-oeuvre-les-differents-types-de-relations-a-laide-des-cles-etrangeres
4449026	4568756	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/decouvrez-le-concept-de-relation#r-4514893
4449026	4568771	references	4449026	4504166	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/creez-du-lien-entre-vos-relations-grace-aux-cles-etrangeres
4449026	4568771	references	4449026	4503656	https://openclassrooms.com/courses/4449026/comprenez-limportance-des-cles
4449026	4568776	references	4449026	4568776	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/4568776-noubliez-pas-lagregation#/id/r-4569357
4449026	4568776	references	4297166	0	https://openclassrooms.com/courses/realisez-des-calculs-distribues-sur-des-donnees-massives
4449026	4568781	references	4449026	4504461	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/utilisez-les-tables-dassociation
4449026	4568781	references	4449026	4567381	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/evitez-la-redondance
