topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
8	81	expert-e-en-strategie-marketing-et-communication		Expert en stratégie marketing et communication	Définissez une stratégie et dirigez des équipes vers l'atteinte de vos objectifs.	fr	Diplôme niveau 7 (Bac+5)	12	0	 Efficom Lille	https://oc-static.imgix.net/prod/images/paths/illustrations/MARKETING_STRATERGY.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/81-expert-e-en-strategie-marketing-et-communication	https://www.certificationprofessionnelle.fr/recherche/rncp/28716
8	336	community-manager-2		Community Manager	Gérez la présence des marques sur les réseaux sociaux tels que Facebook, Instagram, LinkedIn ou Snapchat.	fr	Diplôme niveau 6 (Bac+3/4)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/336/16375934710107_Artboard%201.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/336-community-manager-2	
9	82	ingenieur-responsable-pedagogique		Ingénieur responsable pédagogique	Créez des expériences d'apprentissage parfaitement adaptées à vos objectifs, vos publics et vos ressources.	fr	Diplôme niveau 6 (Bac+3/4)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/82/15435994661027_path82.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/82-ingenieur-responsable-pedagogique	https://www.certificationprofessionnelle.fr/recherche/rncp/34050
9	86	mentor-en-pedagogies-innovantes		Formateur / Enseignant	Développez vos compétences pédagogiques pour accompagner vos étudiants dans leur apprentissage.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/PEDAGOGY_TRAINERTEACHER.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/86-mentor-en-pedagogies-innovantes	https://www.certificationprofessionnelle.fr/recherche/rncp/34050
10	93	gestionnaire-de-paie		Gestionnaire de paie	Gérez la paie à l'heure de la transformation numérique des ressources humaines.	fr	Diplôme niveau 5 (Bac+2)	12	0	 Sciences-U Lyon	https://oc-static.imgix.net/prod/images/paths/illustrations/HR_PAYROLL.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/93-gestionnaire-de-paie	https://www.certificationprofessionnelle.fr/recherche/rncp/28751
10	87	charge-e-de-gestion-des-ressources-humaines		Chargé de gestion des ressources humaines	Organisez et gérez l'activité des collaborateurs pour optimiser l'efficacité de tous au travail !	fr	Diplôme niveau 6 (Bac+3/4)	12	0	 Sciences-U Lyon	https://oc-static.imgix.net/prod/images/paths/illustrations/HR_HRMANAGER.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/87-charge-e-de-gestion-des-ressources-humaines	https://www.certificationprofessionnelle.fr/recherche/rncp/21956
10	143	conseiller-en-evolution-professionnelle		Conseiller en évolution professionnelle	Accompagnez les individus dans le développement de leur carrière.	fr	Diplôme niveau 6 (Bac+3/4)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/CAREER_COACH.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/143-conseiller-en-evolution-professionnelle	
10	559	manager-rh-1		Manager RH	Pilotez la gestion des ressources humaines en lien avec les objectifs stratégiques de l'entreprise.	fr	Diplôme niveau 7 (Bac+5)	10	0		https://oc-static.imgix.net/prod/images/paths/illustrations/559/16378490518335_HR_MGMT2.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/559-manager-rh-1	
10	561	responsable-learning-development		Responsable Learning & Development	Accompagnez la stratégie de l'entreprise par le développement des compétences des salariés !	fr	Diplôme niveau 6 (Bac+3/4)	12	0	 le CESI	https://oc-static.imgix.net/prod/images/paths/illustrations/561/16378497214798_HR_LEARNINGDEVELOPMENT.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/561-responsable-learning-development	
12	102	responsable-en-securite-des-systemes-d-information		Responsable en sécurité des systèmes d'information	Mettez en œuvre une stratégie de cybersécurité dans votre entreprise et déployez-la en continu	fr	Master (Bac+5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/LOCK.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/102-responsable-en-securite-des-systemes-d-information	https://www.certificationprofessionnelle.fr/recherche/rncp/34026
12	406	administrateur-systemes-et-reseaux		Administrateur Systèmes et Réseaux	Gérez les réseaux et les systèmes d’information des entreprises, ainsi que leur sécurité.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/406/16286696672043_SYSTEMS_administrateur.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/406-administrateur-systemes-et-reseaux	
12	524	chef-de-projet-en-infrastructures-et-cybersecurite-des-si		Responsable de Projet Cybersécurité et SI	Pilotez des projets cybersécurité et SI avec succès et créez de la valeur pour votre entreprise	fr	Diplôme niveau 7 (Bac+5)	17	0	 le CESI	https://oc-static.imgix.net/prod/images/paths/illustrations/524/16354082969438_PROJECT_Product_M_Chef_SI.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/524-chef-de-projet-en-infrastructures-et-cybersecurite-des-si	https://www.francecompetences.fr/recherche/rncp/35588/
